owner_id,owner_name,parent_company_id,country,website,notes
AVO-DIAGEO,Diageo,AVP-DIAGEO,United Kingdom,https://www.diageo.com,
AVO-CHIVAS-BROTHERS,Chivas Brothers,AVP-PERNOD-RICARD,United Kingdom,https://www.chivasbrothers.com,
AVO-ARDBEG-DISTILLERY,The Ardbeg Distillery Ltd.,AVP-LVMH,United Kingdom,https://www.ardbeg.com,
AVO-EDRINGTON,Edrington,AVP-EDRINGTON,United Kingdom,https://www.edrington.com,
AVO-WILLIAM-GRANT,William Grant & Sons,AVP-WILLIAM-GRANT,United Kingdom,https://www.williamgrant.com,
AVO-BEAM-SUNTORY,Beam Suntory,AVP-SUNTORY-GLOBAL-SPIRITS,United Kingdom,https://www.suntoryglobalspirits.com,
