source_id,source_type,authority,title,url,reliability,last_checked,notes
SRC-GLENSCOTIA-CONTACT,Official,Glen Scotia,Contact / how to find us,https://www.glenscotia.com/pages/contact-us,High,2026-07-01,
SRC-SPRINGBANK-CONTACT,Official,Springbank,Contact Us,https://www.springbank.scot/contact-us/,High,2026-07-01,
SRC-SPRINGBANK-PROCESS,Official,Springbank,Process,https://www.springbank.scot/about/process/,High,2026-07-01,
SRC-KILKERRAN-HOME,Official,Kilkerran,Kilkerran home,https://kilkerran.scot/,High,2026-07-01,
