brand_id,distillery_id,brand_name,brand_type,peated,status,website,notes
BRAND-GLEN-SCOTIA,DIST-GLEN-SCOTIA,Glen Scotia,Single malt brand,Partial,Active,https://www.glenscotia.com,
BRAND-SPRINGBANK,DIST-SPRINGBANK,Springbank,Single malt brand,Partial,Active,https://www.springbank.scot,
BRAND-LONGROW,DIST-SPRINGBANK,Longrow,Single malt brand,Yes,Active,https://www.springbank.scot,Produced at Springbank Distillery.
BRAND-HAZELBURN,DIST-SPRINGBANK,Hazelburn,Single malt brand,No,Active,https://www.springbank.scot,Produced at Springbank Distillery.
BRAND-KILKERRAN,DIST-GLENGYLE,Kilkerran,Single malt brand,Partial,Active,https://kilkerran.scot,Produced at Glengyle Distillery.
