distillery_id,official_name,preferred_name,region_id,type,status,founded_year,owner_id,parent_company_id,website,address,postcode,latitude,longitude,notes
DIST-GLEN-SCOTIA,Glen Scotia Distillery,Glen Scotia,REG-CAMPBELTOWN,Malt,Operating,1832,OWN-LOCH-LOMOND-GROUP,PC-LOCH-LOMOND-GROUP,https://www.glenscotia.com,"12 High Street, Campbeltown, Scotland",PA28 6DS,,,Campbeltown Gold Candidate v0.1 seed.
DIST-SPRINGBANK,Springbank Distillery,Springbank,REG-CAMPBELTOWN,Malt,Operating,1828,OWN-JA-MITCHELL,PC-JA-MITCHELL,https://www.springbank.scot,"Well Close, Campbeltown, Scotland",PA28 6ET,,,"Physical site for Springbank, Longrow and Hazelburn."
DIST-GLENGYLE,Glengyle Distillery,Kilkerran,REG-CAMPBELTOWN,Malt,Operating,1872,OWN-MITCHELLS-GLENGYLE,PC-JA-MITCHELL,https://kilkerran.scot,"Well Close, Campbeltown, Argyll, Scotland",PA28 6ET,,,Physical site for Kilkerran.
